,id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
1744,368IUKXGA564JXT0246T69JC3ED6PL##32Q90QCQ1TJA75NTLXQLB0LE4VFKEQ##A2KYOM2ZGYDJGT##Blog_958341##q1_a1##3JVP4ZJHDR6WIPJO7ICSG9WHX6WI0E,"I had trouble putting it down so I could actually get things done . I was thrown of balance a little by the very end though , for reasons which I will put under a cut to avoid spoilers for anyone wanting to read it . The antagonist was of course completely insane . He 'd have to be to do what he does to people .",Why did the writer have trouble putting it down ?,They enjoyed it very much .,They had to get things done .,None of the above choices .,They were thrown off balance .,0,1,[-5.69   -0.3386 -1.954  -1.475 ],1,[-26.434061 -24.600637 -25.291119 -26.195288]
1763,3FULMHZ7OWBZDWRGBYXMK5TCW4VM46##34HJIJKLP8BLQ3JJFS4FWL8DFH6V4E##A3GVXFBYAU9HP##Blog_211315##q1_a2##3Y3N5A7N4INFB35005LT0UXJRE6MYL,"OK , last night I had the wonderful fortune of encountering one of Kansas City 's lesser hung men . It was quite a sight to see , too .... HAHAHA . Well , not that I actually * saw * it saw it . I inferred it based on his behavior .",How is it possible to infer the Kansas City man is one of the lesser hung men ?,He flashed his thing a lot and had an expensive car .,He flashed his cash a lot and had an expensive car .,He had a stereotypically reserved but expensive attitude .,He flashed his thing a lot and had a lot of cash .,1,2,[-2.64  -1.169  2.514 -1.215],2,[-26.469444 -25.576893 -23.32661  -26.307297]
1764,3TUOHPJXYHV7MLAXFDTEYG4STGUXWI##3Y5140Z9DYENY1MVU8LKSW55Q4HPI6##AJ7NSZOAFP05U##Blog_1488660##q1_a1##3RDTX9JRT0FHPZQ5ONROIV71MVU791,"One was me sitting on Mall Santa 's lap ( when I was 16 - Sarah dared me to do it ) , and the other was a framed shot of Laura , Sam , and me , from my first ren fest ... 8 years ago . I put it up on the mantle . But man ... that was 8 years ago ?",What may be shown in the photos you were looking at ?,There would be photos from the holdays .,None of the above choices .,A friend would be covering me in the pictures .,There would be a photo of me sitting on Santa 's lap at ren fest .,0,2,[-0.1807 -1.405   0.985  -3.375 ],3,[-25.749683 -24.074724 -30.833904 -23.962309]
1769,39KV3A5D1ALZUEM4XTRFZQCRDMO7SM##3WQ3B2KGEBVPPQOUNTUDXB73XGF1BJ##A2KYOM2ZGYDJGT##Blog_1249686##q1_a1##3L21G7IH49AIFEJB7J2VG29FSJE1YO,"Some of them told me they are voting Conservative , and some of them are clearly at a loss . One woman said that she and her husband are going on a cruise to avoid the whole question . While some Liberals are clearly fiscal conservatives in the Canadian context ( and note that both liberal and conservative have quite different meanings - much more to the left - than in the US ) others really believe in center left principles . The NDP could pick up their support all over the country . With a well run campaign and a little luck Jack Layton and a team of good candidates will be the spoiler in this election . As for me , well , I was going to get out the vote this weekend and on the expected by election day of September 8 .",Why did some people tell the writer they are voting conservative ?,Because they support the conservative candidate .,Because some liberals are fiscal conservatives .,None of the above choices .,Because they are clearly at a loss .,0,2,[-4.44  -3.348 -2.578 -3.559],1,[-27.026278 -25.727394 -26.058275 -32.09052 ]
1780,3WGZLY9VCJ0XS385A8OWIRMMO3E8DB##3KJYX6QCMCQBTL24IZRJ2NXWWFZVJ9##AO33H4GL9KZX9##Blog_1259263##q1_a1##3QGTX7BCHRGH8MUZ4S6QXZVYAZAZ5U,When that car was fixed a long time ago and that was when it was a fast runner . It was in the garage and it was a tanker it was just a speeder and when it went to a race me and my mom was racing . I was driving it and mommy was sitting beside me and not driving and I was fast fast . The other cars were so slow and I was so fast fast fast .,What might have happened to the car after it was fixed and used in a race ?,The car might have sat in a garage being cherished and not being raced .,The car might have sat in a garage being stored but being raced .,The car might have sat in a garage being cherished but being raced .,None of the above choices .,3,0,[ 1.154   0.3098  0.1    -1.081 ],1,[-20.706795 -19.921223 -23.162281 -26.843454]
1782,3PGQRAZX04YI9YI5K2HFC3WOIAYYSU##35BLDD71I9C1T0780LU5QHLMEZIVZ7##A394JO4NEPCY3M##Blog_832622##q1_a2##3QE4DGPGBTPZLMVU0VZR709EZAHG47,So my mum has just gone shoppin on her own and b4 she left put a bowl of SWEETS next to me ASIF IM GONNA EAT EM ! ! christ does she not get that i do nt wanna eat ? ! n she shud just leave me alone urrgh i hate being this down i ai nt been like this for ages ! ! i just hate it so much i do nt get wtf is rong with my mum ! ! !,What might be different if the narrator was n't down ?,Their mom would n't leave them alone,They would n't want to eat,They would eat the bowl of sweets,They would n't eat the bowl of sweets,2,0,[ 0.682 -2.408 -4.074 -3.658],3,[-21.733173 -23.99382  -21.89703  -21.718826]
1795,3FVBZG9CLLSWMU8410U7GXV2VXO0HG##3Z7EFSHGNCTGPW1T8MBF34HMHPLXCK##A2KYOM2ZGYDJGT##Blog_286690##q1_a1##3HUR21WDDW3Q5F44ECN2BBDGXRJXYO,"I need a rest , and even more , I need a bath ! We discovered that while we 're gone , the monos open the beach for a morning bath , and by the time we get back with the food , it 's already closed ! I was wondering how the other three girls still seemed so clean .",Why does the writer need a bath ?,The other three girls are clean .,None of the above choices .,The monos open the beach for a morning bath .,She needs a rest .,1,3,[-2.998 -2.463 -4.32  -1.806],3,[-30.424366 -26.518045 -30.26436  -23.510262]
1816,3XBYQ44Z6RIFZT0KU14H1B7U8WATWY##31HQ4X3T3VP1WJ90RPYR7FQHZAFLSJ##AJ7NSZOAFP05U##Blog_524043##q1_a1##39TX062QX32PPC7GPRUCLHH3OXXX35,"Just when you all gave up on us , I decided it was time to update . As most of you know , we are in the process of moving from our "" Sweet Home Alabama "" back out west to Hill AFB in Utah . We are now on day 3 of our trek across this great nation .",What may have caused you to go to Utah ?,We wanted to see if we could find a new home at that place .,None of the above choices .,It was the place where our new house would be .,We wanted to go on a trek across the nation .,2,0,[ 0.2274 -4.47   -1.383  -3.812 ],0,[-21.650541 -27.186115 -27.061306 -25.63461 ]
1821,38VTL6WC4AB297LNO8S7RUYOBKJ5Y4##3D3VGR7TA1DTKBKRMXIMTL3V7DF3R0##A2LTOS0AZ3B28A##Blog_1115437##q1_a1##3KQC8JMJGE6S3M71KNCQIVT901KH3Q,"Last night just at twilight to be exact my daughter , her little head all sweaty from running around like a little maniac with the other children in the neighborhood came bounding into the house skidding to a halt in the kitchen , "" Mommy ! Look ! Is n't it beautiful ! """,What did her daighter want her to look at ?,She wanted her to look at a pretty rock .,The daughter wanted her to look at the sun going down .,None of the above choices .,She wanted her to see the other pretty children .,0,1,[-5.793 -1.59  -2.742 -2.285],1,[-27.561586 -17.520008 -26.342083 -25.137426]
1826,38G0E1M85OJHKHF44WPVK5AIKGFVUB##354P56DE9NI2HYKYNVXHOA8G2157SB##A2KYOM2ZGYDJGT##Blog_1291301##q1_a1##3L84EBDQ39GP1AGGBE7MC9Q337PKKT,"I had not had even 12 euros for the ticket , and B. ) I ' m not so fond of theatre as I do n't like sitting a hour and a half on my butt in a great dark room , watching some mummies waving their arms on the stage . After school I had some extra money left , so I bought potato crisps and lended Juno from the video renting . I love that movie , and I ' ve been craving to see it again . I should also see One missed call , the American remake , and Suspiria .",What 's a possible reason the writer did n't have 12 euros for the ticket ?,The writer is not fond of theater .,The writer is poor .,None of the above choices .,The writer does n't like sitting for an hour and a half .,1,2,[-1.203  -1.163  -0.9688 -2.215 ],0,[-13.845042 -21.735397 -25.074005 -18.60109 ]
1833,35JDMRECC6NHDOSNP1B4GML5C1VGE1##3H7Z272LXAM4JRT8Z8UXCAL6FZAPLU##A29RROPO0Z90XV##Blog_941064##q1_a1##3P458N04Q3V04UBXLRG727CCJ3EX2I,"It always seemed so far out in the distance . It was always something I thought would come when I was ready for it , but here it comes , and all I want to do is run away . I want 4 more years to really be a kid , and not have responsibilities , and to have fun , and really appreciate my friends and family . I guess it just hit me .",What happened that she was going to have to be responsibe for ?,She was still just a child .,She graduated college early .,None of the above choices .,She was enjoying her childhood .,1,3,[-1.689 -1.862 -4.133  1.46 ],0,[-19.432693 -30.139156 -26.559597 -19.660368]
1834,35JDMRECC6NHDOSNP1B4GML5C1VGE1##3H7Z272LXAM4JRT8Z8UXCAL6FZAPLU##A29RROPO0Z90XV##Blog_941064##q1_a2##3R16PJFTS554N8RDQMK65S1878VK4C,"It always seemed so far out in the distance . It was always something I thought would come when I was ready for it , but here it comes , and all I want to do is run away . I want 4 more years to really be a kid , and not have responsibilities , and to have fun , and really appreciate my friends and family . I guess it just hit me .",What happened that she was going to have to be responsibe for ?,She found out that she was pregnant .,None of the above choices .,She was still just a child .,She was enjoying her childhood .,0,3,[ 0.655 -4.133 -1.689  1.46 ],2,[-22.003828 -26.559597 -19.432693 -19.660368]
1847,3D42WVSDH8TUB4ECUK5GD6P10PSYFX##35GMH2SV3FFTXW88JPIEIH2NP1HOE9##A2KYOM2ZGYDJGT##Blog_667243##q1_a1##3BC9H1KCYWQBGFZE47RG9SZ9OWYYWV,Hopefully I will get it . My upstairs neighbor works there and she is putting a good word in for me . I will be around old people all day which is totally cool with me because I ca n't stand kids my age .,What 's a possible reason the upstairs neighbor is putting in a good word for the writer ?,Because the upstairs neighbor is a kind person .,None of the above choices .,Because hopefully the writer will get the job .,Because the writer ca n't stand kids their age .,0,2,[-2.135 -3.238  0.327 -5.598],2,[-24.23412  -26.334396 -17.48079  -29.465923]
1851,33NKDW9FFXGY8N4SYMTDMMXP1SQCXM##3XIQGXAUMD6VIQ7QX8R4VK1ZDJN7XG##AXJ1PE87PD0KK##Blog_477351##q1_a1##3KTZHH2ONKT0WXEIN1NZ1H9GX6CM8R,"It 's Sunday . I ' m in no hurry . They can take their merry little time . But then out of nowhere , just as my access to the spot has become available ( mind you , I am sitting there with my blinker on !",What happens after the spot became available to me ?,I was able to get the spot without any problems .,None of the above choices .,The person backing out decided to stay in the spot .,I realized my blinker was n't working correctly .,2,0,[ 0.631 -2.3   -1.861 -1.795],0,[-21.34487  -26.100891 -29.389692 -25.102314]
1855,3BA7SXOG1JOCZOS38B7GVIFIAWDR8G##35L9RVQFCPG0UBJ75C2T2QRPZYDUHE##A1OPGPTQJ48XOY##Blog_175528##q1_a1##33TGB4G0LRVUOT5A46033UL1IWITXQ,"I feel somewhat stagnant and disheartened these days . I have been blessed to be in the company of awesome people lately , as well as finding out some of those who I thought were great really are n't . But , these revelations only make the truly great one 's lights shine that much brighter .",What would happen if you did not take time to reflect on the people in your life ?,I would see that everyone in my life is great because I would not think otherwise,I would struggle to see how great some of the people in my life are because I would not think about things like this,I would understand that everyone is valuable to me and would not rank people by their value because I would not overthink these distinctions in people,I would not allow any negative perspectives to prevail because I would accept that anyone in my life is providing me with some goodness,1,3,[1.895 1.544 3.342 7.562],2,[-28.267418 -17.332844 -14.137821 -24.750687]
1861,34ZTTGSNJZ2KAND3IYOMV3MKAZUQHA##32ZKVD547I2LZT29AX8WL4M0XKG3B6##A394JO4NEPCY3M##Blog_1438691##q1_a1##3QI9WAYOGSPGQE8ZEJMNTCCVJE2S6D,Both of the castles were built by this crazy king in the 1800s with a serious ego issue . There is a bridge you can hike to that gives you a sweet view of Neuschwanstein . So we went and this bridge was soo sketchy ! It was about a million feet in the air across this gorge and it was a metal body with just wooden planks across it . John was being a jerk and bouncing on the planks and stuff .,What might be different if John was n't being a jerk ?,The bridge would be sketchy,None of the above choices .,He would n't be bouncing on planks and stuff,They would not hike to get a better view,2,3,[-1.415  -2.088  -1.807  -1.1875],3,[-24.18431  -25.299692 -21.445515 -20.978706]
1865,34ZTTGSNJXM5GYEWY0CM35YCHXPQHP##3OLQQLKKNTNFWLHB3CQ9ALL1QLLEJM##AO33H4GL9KZX9##Blog_898846##q1_a1##3BAWBGQGYNDFM638ROWKADWYDQT7V3,"Put your shoes away , or close the bedroom door . If ( as is the case in some older houses ) the air wo n't circulate without the door open , invest in a babygate . The pressure - mounted ones are very inexpensive , and if the chewing only happens when you 're away , there 's no need to keep it up all the time . If you want something easier to open , there are numerous ones available from hardware stores and catalogues like Dr Fosters & Smith , many of which are very nice looking .",What might have happened that I 'm getting this advice about shoes and babygate ?,I might have gotten a dog that keeps chewing on my shoes while I 'm away .,I might have gotten a baby that keeps chewing on my shoes while I 'm away .,I might have gotten a dog that keeps chewing on my baby while I 'm away .,I might have gotten a dog that keeps chewing on my babygate while I 'm away .,0,1,[-3.094 -2.82  -3.928 -3.805],1,[-23.234255 -17.666079 -23.233116 -23.486443]
1868,3MXX6RQ9EXJ5YZOT3EPE19N6ZFQ4PC##337RC3OW08HHOBQ4LK3WI2AOWPDLVC##AJ7NSZOAFP05U##Blog_1284427##q1_a1##33IXYHIZB7WRYUKGQMQFEIR42A6E2G,"she had thosehighlights , a sort of bob haircut , i am serious about theschoolteachers . i sometimesforget about the moustacheuntil it stars itching . smoking infront the gas station i keptlooking in , she couldntplace me either .",What might be some traits that the woman 's hair had ?,Her hairstyle was short and clean .,It looked like a mustache .,None of the above choices .,Her haircut was similar to that of a school teacher 's .,0,3,[2.064  1.578  0.3545 4.6   ],3,[-26.211302 -22.907408 -25.294327 -18.38314 ]
1869,3MXX6RQ9EXJ5YZOT3EPE19N6ZFQ4PC##337RC3OW08HHOBQ4LK3WI2AOWPDLVC##AJ7NSZOAFP05U##Blog_1284427##q1_a2##3ZVPAMTJWPH6MSXSB7V4FTKORI1GRE,"she had thosehighlights , a sort of bob haircut , i am serious about theschoolteachers . i sometimesforget about the moustacheuntil it stars itching . smoking infront the gas station i keptlooking in , she couldntplace me either .",What might be some traits that the woman 's hair had ?,It had multiple colors .,None of the above choices .,It looked like a mustache .,Her haircut was similar to that of a school teacher 's .,0,3,[-0.508   0.3545  1.578   4.6   ],3,[-26.841959 -25.294327 -22.907408 -18.38314 ]
1877,3XT3KXP241CRW05397S9PA687CJ6I7##340UGXU9D1GK71DYUYVX9P6765GUV0##AO33H4GL9KZX9##Blog_624772##q1_a1##3EFNPKWBMU2HSM15MF55C3USEF603L,"I cooked them in a nonstick pan over high heat until the sauce reduced into a nice thick coating . They were good , but I need to incorporate mustard into the mix next time and reduce the brown sugar . It was a little sweet .",What might I not understand about nonstick pans ?,None of the above choices .,I might not understand that nonstick pans should n't be used with high heat .,I might understand that nonstick pans should n't be used with high heat .,I might not understand that nonstick pans should be used with high heat .,1,3,[-2.697 -1.63  -2.465 -1.45 ],2,[-26.781855 -25.048773 -24.962976 -27.244686]
1879,3EQPA8A374UALWAD9WYK6BQVZAYZJH##3F6HPJW4JEY97P5UHRENXA6KTX3W2W##AO33H4GL9KZX9##Blog_261347##q1_a1##3H5TOKO3DBXXOT6OOIQ5V9WP5LJ46C,"i have a boyfriend , but i jsut moved into the city , so which means he s an hour away , he works during the week so i do nt get to see him then , and i m getting two jobs so i wo nt be seeing him that often , expecially if i have to work weekends ! i go out clubbing once and a while but he dosnt come . i do nt mind because that gives me time to myself and my girl friends .",Why might I be getting two jobs in the city ?,Because living in the city costs less money and both jobs pay enough alone .,Because living in the city costs less money and neither jobs pay enough alone .,None of the above choices .,Because living in the city costs more money and neither jobs pay enough alone .,3,1,[-1.637 -1.    -1.852 -1.052],0,[-22.967464 -23.697357 -26.797941 -23.301138]
1893,3URJ6VVYUPL8JADL4G0ZKBU8X95O4D##3W2LOLRXLCDZG9SY73ALA7KXH9PKRZ##A2KYOM2ZGYDJGT##Blog_447278##q1_a1##3UQ1LLR26CMU93PCKN6YXV0MNQ4LAC,"I thought it would be great to look at along the way to Kentucky , but never got the chance to do so . As circumstances would be , I would end up being pregnant with a boy . Only to have a doctor in Kentucky tell me to abort the baby , in order to have a large tumor that was growing in my neck , removed . This was NOT an option , of course I was going to have the baby , and later worry about my health .",Why was the writer told to abort the baby ?,So she could travel to Kentucky,None of the above choices .,So she could spend more time with the doctor,So she could spend more time worrying about her health,1,3,[-2.238 -1.709 -4.1    0.844],3,[-30.628593 -26.06875  -30.36102  -25.175562]
1898,3HKIF5DF60B0IS16HQVIO8KUL1C9GB##3IRIK4HM3DZ36HHX7Z2P3R42P576CT##A1OPGPTQJ48XOY##Blog_623206##q1_a1##3PIOQ99R7004CC6V2534AOG5Z2WNUK,"I feel like throwing something fragile . THEN , I got confused and thought Project Runway came on Thursdays , so it was quite the let - down after an already disappointing day when I tuned in and Kathy Griffin was all over my tv set . I mean , seriously ? Ew . Work has also been totally ridic lately . The weather has been gorgeous , clear skies ' n ' everything , and people are starting to move back to town in anticipation of school starting on the 25th .",What will happen once the 25th rolls around and everyone is back in town ?,We will be overrun by visitors to the store and will have to close to keep them at bay,People will start to visit our store and we will be busy at work all the time,We will close up for the season because it will be too busy,We will not have sufficient staff to cater to everyone who comes to the store and will find ways to evade work,1,2,[-5.55  -2.463 -2.42  -2.924],3,[-30.79161  -26.889757 -28.744717 -26.716286]
1902,306W7JMRY0C4D6ALWCXQN1YMLEQB8N##3FPRZHYEP1M0870FFEZWMGG70X83VU##A2KYOM2ZGYDJGT##Blog_1179333##q1_a1##3GV1I4SEOB3TM1D9UAPMHQY0RK96LS,"I waited till the bartender refilled his cup , and then said to the twink "" seriously ? I 'll let you have it this time , but you should know that you just cost your bartender his tip for taking you first . "" Before you all grab your torches and decide to run me out of the county , I DID tip my bartender . The former was only said to make a point to the little meth smacker that walked in front of me . Which brings me to the part of the evening the subject line refers to .",Why did I tip the bartender ?,The little meth smacker walked in front of me,None of the above choices .,That 's the nice thing to do .,The bartender refilled his cup .,2,1,[-3.393 -2.617 -5.355 -5.016],0,[-24.561419 -26.045141 -28.246525 -27.59021 ]
1904,3VGZ74AYTGENM1929CT9Y0XUY6FCGN##3LOZAJ85YEBOWPAKRWA9ZTKR2JTX2E##AO33H4GL9KZX9##Blog_863472##q1_a1##3ZUE82NE0CFUQNM11EJM6RP709Y8FC,"His dressing gown was caught at an odd angle underneath him , so it pulled insistently at his shoulders . Plus Vince was touching him in a lot of different places , all at the same time . It was rather uncomfortable all around .",Why might he be wearing a dressing gown ?,He might have been in a costumes party .,He might have been in a funeral reception .,He might have been in a tuxedo party .,None of the above choices .,0,1,[-1.673  2.355 -2.705 -1.498],2,[-26.27894  -28.072514 -23.290102 -26.18638 ]
1914,3YCT0L9OMM793AFKT2W43PA9LTVSNT##3IJXV6UZ1YH8AE2A70P9XR5KS8QRIU##A33PQXKQHFVF3V##Blog_1488510##q1_a1##3UAU495MIK6MUX673K3HPDGAP6KUOD,"It arrived the day after my post and touched me to the core . As I opened it I felt Him saying "" You are not alone . "" ... well , if I am going to be honest here and let the rest of you think I am as crazy as I already am I heard it sung to me in the form of a song our choir sung on our Pastor 's last day at church recently . This mommy , the one with no peers herself due to her unique family situation , sent me a locket in the shape of a heart . In that locket , which she wore 15 years ago , she displayed the photos of her children for the 2 + years it took to finally bring them home .",Who did I imagine telling me that I am not alone ?,"It was my husband , I just love him so much for that .",None of the above choices .,It was the Pastor who knew what I was going through .,"It was my father , he has supported me all my life .",1,3,[ 1.918  -0.2583 -1.239   4.207 ],2,[-25.020126 -25.532654 -20.576002 -23.329287]
1924,3L4YG5VW9NQUF95P7INCCLCF6F8DDD##39ASUFLU6Y5GR5M0KG5A1UTG0YQEXT##A394JO4NEPCY3M##Blog_1564586##q1_a2##3U74KRR67OZPCZR620DU5SU3GFCNTY,"I like her . I ' m pretty sure she was in band last year ( I would n't know about this year ) , and I think she was a freshman last year . My foot was hurting wicked bad when I went out for my last cart shift , and so was my knee , so I was limping all over the place . It was horrible .",What may be different if the narrator was not hurt ?,Their shift would be horrible,None of the above choices .,They would n't make their last cart shift,They would be limping,1,3,[-5.863 -3.89  -5.38  -3.576],3,[-26.800606 -26.023916 -25.855215 -25.439789]
1926,3XEDXEGFX3M8UVA5NNL41RNMWDE0KU##3J2UYBXQQMA4H0NABMX5GSESANP06W##A394JO4NEPCY3M##Blog_209860##q1_a1##391FPZIE4E0C2GKKZ78R54J9DM2UHP,"I ' m used to pulling out one of your books to explain how to do a spot - on introduction of a character in one page or less . I read this drivel rather unwillingly , in the hopes it would get better -- if it had n't had your name on the cover , I would n't have done that . Predictable plot , cliche and forgettable characters .",What is probably true ?,The narrator will not read this book again,The narrator will read this book again,None of the above choices .,The narrator will use this book as an example,0,3,[-3.207 -0.731 -2.25   1.542],3,[-21.875801 -22.31166  -26.32492  -19.545364]
1934,311HQEI8RSEH119B8N9N3LLM8FYZ7A##37UEWGM5HU6XA86CZT435SOY83Y1RM##A2KYOM2ZGYDJGT##Blog_1564893##q1_a1##3JMNNNO3B3ILFU67BMKL0OY499FW28,"The practice was brought into play with the introduction of specialty restaurants , but some cruisegoers would rather dole out gratuities themselves . Question : After booking a cruise with Princess Cruises and paying for it , I learned that $ 11 a day per person would be added to our stateroom bill for tips . For an 18-day cruise , that adds up to $ 396 for two of us .",Why was $ 11 per day being charged ?,None of the above choices .,specialty restaurants,for the princess,booking fee,0,3,[-1.59  -3.975 -4.38   1.63 ],3,[-25.349987 -24.860188 -30.985886 -23.714127]
1951,36D1BWBEHPFPAICT7KEYRQWDBD2M2K##3JAOYWH7VLJJR4D1IJY0QKLR9XIL9O##A394JO4NEPCY3M##Blog_320192##q1_a1##3MJ28H2Y1GM59IGS2JV9H1OUQU25OR,"The next day when I went back to office , I saw the smurfy T , in exactly the same colour that i would love to have , folded neatly and seated nicely on my cubicle shelf . She actually did n't forget . She bought for me and she refused to accept my payment .",What might be different if she had forgotten ?,The narrator would n't have a smurfy t,The narrator would have to pay her back,None of the above choices .,The narrator would n't have to pay her back,0,1,[-4.324   0.512  -2.812  -0.6577],3,[-22.038408 -21.10897  -26.535206 -20.143457]
1961,35O6H0UNLSECEIQO28R4H7J0YR65JS##3IAEQB9FMFIWAZ3AEGY4TTXOSQWWDF##AXJ1PE87PD0KK##Blog_1681##q1_a1##3VP28W7DUPY9AJNOA4JZJBMBZNDFZ6,"I ' ve gotten majorly lost . I ' ve ended up in Nowhere , Pennsylvania . I used to drive down to D.C. on a whim . I love to drive , and I ' ve come to a certain sense of acceptance when it comes to gas prices .",What did I do when I got majorly lost ?,I found the closet store and asked for directions .,"I decided to drive to Nowhere , Pennsylvania .",None of the above choices .,I moved to D.C. on a whim .,0,2,[-4.215 -3.23  -2.17  -3.465],2,[-30.347134 -30.125895 -27.513477 -32.10374 ]
1963,3BAWBGQGYNDFM638ROWKADWYDM07V2##3A1PQ49WVKWZG3RGNL49JMA1UYJ1HA##A2KYOM2ZGYDJGT##Blog_245952##q1_a1##3JYPJ2TAYKMFWFLINVLXSDKXPTCFP1,"It just did n't ring right , and it bothered me . I ' m probably setting myself up for a flame war here , but it really marred my appreciation for the film . ( The casting of Marcia Gay Harden as Mrs Carmody almost made up for it , though ; I spent the entire film wanting to punch her in the eye . )",Why am I probably setting myself up for a flame war here ?,It just did n't ring right,it really marred my appreciation,None of the above choices .,It bothered me,2,3,[-1.196  -0.834  -1.728   0.0803],3,[-19.77404  -26.169586 -26.020275 -15.142438]
1967,3L4YG5VW9NQUF95P7INCCLCF68RDDI##3EJPLAJKENE1JLT0FGAXMRHEPTIZ6S##A2KYOM2ZGYDJGT##Blog_746947##q1_a1##3RTFSSG7TAKRGGSFLS2QFKXDF98LWO,"Apparently , I judge a book by it 's ending . As always , the first thing I did when I got my grubby hands on my friend 's copy of the book I was dying to read was flip through the last three , four pages and read it to my heart 's delight . Then ... wait for it , wait for it ... I leaned back on my chair with a warm and broad smile , sighing contentedly .",Why did the writer read the last 3 or 4 pages of the book ?,None of the above choices .,They wanted to lean back on their chair,"They wanted to smile and sigh , contentedly",They wanted to judge the book,3,2,[-1.97  -6.906 -1.329 -3.02 ],0,[-25.997948 -31.395391 -26.62053  -28.4776  ]
1972,36KM3FWE3TQZT52SOR8VPK68JS107L##3ZPPDN2SLYB5LY391XBWDPV7036E9P##AGUF6B4Q9991D##Blog_1501315##q2_a1##3EHVO81VN7ZWTJTMXJY7U2EC2S5H1J,"My phone is in my office , my purse is in my office ... I have a house key on me cause there 's one on the set of keys that my office keys are on , but I ca n't drive home ... I ran into a colleague and she told me maybe it was a drill . But luckily the blasted thing turned off after a min or so .",How was the person feeling before they heard the news ?,Focused,None of the above choices .,Unfettered,Relaxed,1,2,[-1.174 -3.645  2.836 -2.484],3,[-22.890162 -26.094442 -21.99912  -21.18102 ]
1974,3SA4EMRVJV095M7L0FQCX89LQ750PK##382M9COHEIDOA1S5FBUNHNUC526EU5##A394JO4NEPCY3M##Blog_1495550##q1_a1##3MNJFORX8DIB353Z3GCJU7FGYIZ5F7,"On the way back to the main street , I spotted a couple of electioneering signs . I ' m not sure what it is they 're running for , but hopefully it 's worth all the trouble they are going to . When I got back to the main street I went into a little cafe and ordered a soup . Just as I sat down a horde of school kids came in .",What is likely true about the narrator ?,They care about the election,None of the above choices .,They will vote in the elections,They do not care about the election,3,0,[ 5.227 -5.23   2.996 -4.027],2,[-20.703535 -26.838264 -20.32057  -31.009438]
1975,37VE3DA4YWVX6HBEZGRW0ERLOXGHB8##3LEIZ60CDME3WTU5XKP9YZWPO3B9ZA##AJ7NSZOAFP05U##Blog_1499015##q1_a1##3N5YJ55YXIHKX3SXW0MDAN4BSYYNA0,"I knew they would come fighting back and sure enough , that is exactly what they did . They began to whittle away at the large lead Sendai had built and before long , they were only down by 6 going into a timeout . It was at this point that my future wife and her friends came out onto the court waving towels and trying to get the crowd to do so . Shannon , having brought a towel with her , started waving it .",What may have caused Shannon to start waving the towel ?,Sendai was doing it .,Other people were doing it .,None of the above choices .,She wanted to encourage them to fight back .,1,3,[-0.3352  0.705  -2.494   5.59  ],3,[-28.28714  -21.861797 -25.615698 -11.813903]
1976,3K8CQCU3KGFH4GV0X5I5SC12KA6WNB##37Q970SNZHNO6C5WYFG8N0H33F0S1Y##A394JO4NEPCY3M##Blog_558785##q1_a2##3R6RZGK0XHQY1QZ9EXMKNQGVHS3YV2,"I asked him , and he said no . I did n't call it a date . I did n't even think of it as a date . I just did n't want to go alone , and I figured a book festival would be something that he 'd enjoy too .",What might be different if he said yes ?,They would have to go alone,He would enjoy the book festival,He would n't enjoy the book festival,It would be a date,1,3,[-1.587 -1.735 -3.814  1.263],3,[-26.425095 -18.96357  -28.428856 -18.25121 ]
1977,3K8CQCU3KGFH4GV0X5I5SC12KA6WNB##37Q970SNZHNO6C5WYFG8N0H33F0S1Y##A394JO4NEPCY3M##Blog_558785##q1_a1##3Y3CZJSZ9M786V88UBCDBWTZ1HMR5M,"I asked him , and he said no . I did n't call it a date . I did n't even think of it as a date . I just did n't want to go alone , and I figured a book festival would be something that he 'd enjoy too .",What might be different if he said yes ?,They would have to go alone,It would be a date,They would n't have to go alone,He would n't enjoy the book festival,2,1,[-1.587  1.263 -1.904 -3.814],1,[-26.425095 -18.25121  -19.668018 -28.428856]
1989,3M93N4X8HM1SE9N6Y2GC2GH04WOJSZ##3FTF2T8WLUXZ2YP0MX52ZV274779WT##A2VNR6984SDFGQ##Blog_751396##q2_a1##36GJS3V78X4PO4EF32MVD2YXH19GJO,I loved work today . Graham was very well behaved and slept in my arms for a good part of the day . There was minimal screaming and lots of smiles at different times . I wanted to capture them in a picture or something but they were so fast !,How does Graham feel after sleeping most of the day ?,Graham feels tired .,None of the above choices .,Graham feels hungry after waking up .,Graham feels scared because he had a nightmare .,2,1,[-2.314 -2.193 -4.473 -4.23 ],1,[-28.857014 -26.592844 -27.799381 -31.60465 ]
